sgRNA	Gene	D0R1	D0R2	IVR1	IVR2	XENOR1	XENOR2	XENOR3	XENOR4	XENOR5
USP51_11926	USP51	218284	221508	677	775	0	5	37	0	57
GNRHR_4288	GNRHR	41872	44215	1062	1102	0	44	286	1	426
SIRT5_10038	SIRT5	417598	520359	601	369	1	1	0	0	0
TRMT12_11302	TRMT12	75594	75073	376	378	80	26	5	175	53
BRD8_1336	BRD8	198134	195073	432	222	3	3	0	1	2
NOXO1_7529	NOXO1	26663	35227	277	67	0	2	12	0	0
CD274_1964	CD274	34887	42520	311	218	1	41	48	2	27
ABCC8_142	ABCC8	1048024	1382510	538	205	23	5	0	0	0
AURKC_1031	AURKC	90839	84531	578	428	2371	1456	1	256	0
KDM1A_5846	KDM1A	15933	16424	501	450	6	0	21	0	0
FCGR1A_3548	FCGR1A	2896	2475	679	512	26	15153	17	6	57
MAPK3_6573	MAPK3	39980	40471	608	228	19	6	60	2	2
AAVS0027_27	AAVS	589	671	691	304	215	7	287	0	2
PRKAB1_8656	PRKAB1	49151	56441	470	611	301	1	234	7	0
TRMT61A_11490	TRMT61A	199124	200885	868	753	0	1	213	1	826
CACNA1H_1668	CACNA1H	2700	2932	439	142	78	0	336	2	0
RARB_9111	RARB	83291	103970	1040	521	309	0	1770	2	27
LacZ:1627-1646_LacZ_-_6299	LacZ:1627-1646_LacZ_-	168371	167807	1142	608	283	33	23	619	110
PDE5A_8082	PDE5A	95501	97290	65	53	437	0	0	7	0
PRKCA_8668	PRKCA	7447	10460	462	176	0	0	0	0	0
CHRNB4_2388	CHRNB4	19478	21578	548	357	1	45	35	1670	0
CACNA1S_1683	CACNA1S	13219	12114	190	10	0	0	79	0	0
FBL_3522	FBL	28286	30226	712	339	127	0	6	973	1
TRMT10A_11236	TRMT10A	20047	24312	512	207	13	15	13	122	25
BGLAP_1167	BGLAP	1228	896	567	521	1	0	57	591	0
CPT1A_2518	CPT1A	70993	85771	520	493	0	0	59	179	0
YTHDF1_12328	YTHDF1	31177	31830	1080	787	175	80	1	1	824
GSK3A_4412	GSK3A	35630	39848	675	673	11	0	22	1	1
RNMTL1_9336	RNMTL1	43000	56155	549	521	267	520	0	1	1
BLVRB_1202	BLVRB	14224	14461	610	162	5	6	153	491	1
FCGR2C_3587	FCGR2C	3687	3868	694	442	0	1068	82	222	0
TYMS_11682	TYMS	48306	57726	304	232	2	0	1	4	12831
TFPI_10913	TFPI	74309	73865	2247	1234	183	173	508	23301	4
PSMB5_8886	PSMB5	71314	68442	273	11	0	6	8	0	0
HDAC3_4595	HDAC3	1084	1212	589	125	0	0	63	0	18
MAVS_6626	MAVS	11191	11863	796	704	2096	251	0	3	60
PDE8A_8119	PDE8A	1669	1850	600	497	0	2	1609	18	1
IKBKB_5072	IKBKB	5942	6466	2074	1324	10	39	3030	9	12
YTHDC1_12266	YTHDC1	63362	62250	1259	913	165	0	15	23	1
YTHDC1_12260	YTHDC1	18518	18013	1419	615	14	33	4	3363	357
FLT4_3737	FLT4	15901	14422	707	133	240	2	2	0	7
C10orf54_1397	C10orf54	48447	48471	691	674	286	1	0	1	731
STAT3_10492	STAT3	60785	56284	973	507	13	4	671	3	7
KCNQ2_5809	KCNQ2	40991	41678	210	346	0	5	14	0	1
FBL_3510	FBL	14269	13993	409	246	3099	12	43	1	2
SMARCAD1_10317	SMARCAD1	35363	36686	726	115	50	0	0	0	0
PRMT3_8732	PRMT3	9410	9955	794	784	0	0	33	43	185
YTHDF2_12378	YTHDF2	194582	243466	534	255	0	15	0	1	0
IRF7_5262	IRF7	38369	46208	362	341	8	0	2	39	8049
AR_800	AR	35832	36316	909	371	74	5	17	0	1
SIRT5_10036	SIRT5	15745	16133	420	244	18	0	0	0	0
DOT1L_2939	DOT1L	3251	3586	538	522	95	26	62	0	0
SLC6A1_10231	SLC6A1	1531	1402	488	263	0	0	11	0	9
FCGR3A_3602	FCGR3A	71456	76643	424	688	17	0	648	2	0
SIRT5_10035	SIRT5	6194	7335	1334	720	1	153	142	1040	9
WDR92_12143	WDR92	3107	3154	1232	308	137253	13	9	35	536
FTL_3798	FTL	15066	14982	1110	273	311	0	8	14	2
BRD4_1291	BRD4	118398	145126	1226	974	0	7	1	1414	0
CKM_2405	CKM	282	242	1973	1545	28	0	2156	1890	493
DPEP1_2947	DPEP1	131195	130490	641	252	18	98	0	0	475
TRPV3_11546	TRPV3	93117	117443	424	496	0	0	1155	1	0
SCN1B_9656	SCN1B	2725	2841	1844	981	5	38	368	1	1
MRM1_7209	MRM1	45743	58062	259	161	0	8	8	3	68
YTHDF1_12352	YTHDF1	10009	9828	614	516	62	42	6	1	13
BRMS1L_1357	BRMS1L	105516	105573	1676	795	45	91	127	0	2
SLC22A8_10175	SLC22A8	68	44	413	147	54	9	49	0	2
KDM1A_5845	KDM1A	14033	13439	191	508	23	0	16	15	819
CALY_1775	CALY	2737	3123	540	285	136	31	0	0	0
PADI2_7878	PADI2	15229	15295	1557	578	20	1	540	19	2
TRMT2B_11387	TRMT2B	3522	3731	1090	389	1013	0	1	0	0
TET3_10868	TET3	112445	113776	845	475	1	0	1	0	4
HCFC1_4524	HCFC1	84286	107330	516	125	224	36	16	0	52
ALPPL2_632	ALPPL2	35721	32981	511	210	36	9	0	0	551
CSF2RB_2578	CSF2RB	16289	22341	433	315	34	2	0	0	1
UBE2B_11752	UBE2B	1785	2087	1506	669	650	197	2665	142	14
KDM1A_5840	KDM1A	51470	52004	1324	548	2	67	70	4	3
HIPK4_4677	HIPK4	2225	2581	463	509	15	0	18	0	3
GLP1R_4219	GLP1R	72138	71293	802	546	582	0	13	26	0
CSF3R_2581	CSF3R	12250	12436	264	189	0	0	0	7	0
EDF1_3044	EDF1	144914	146227	818	484	0	0	6	25	8
YTHDF2_12418	YTHDF2	948	1151	694	405	0	56	10	18	1
JADE2_5350	JADE2	26305	27555	416	45	5	0	8	0	0
ADRA1A_318	ADRA1A	22	2	1446	883	50011	242	21	654	1
KCNMA1_5786	KCNMA1	858	802	476	357	4	0	18	17	264
TRMT1_11200	TRMT1	2481	2424	469	334	0	281	74	134	0
TBL1Y_10810	TBL1Y	424	598	874	731	7	47	228	1	1
KCNA1_5534	KCNA1	18718	19961	843	219	176	0	0	184	0
CACNA1B_1613	CACNA1B	7067	7172	428	533	2777	467	181	4	101
RNMT_9294	RNMT	1	1	559	445	329	1	0	0	0
MAVS_6659	MAVS	23258	24993	1364	1598	54	1343	388	5	7
TBXA2R_10821	TBXA2R	5918	6812	248	185	0	0	0	0	6
KAT6A_5495	KAT6A	7194	7594	513	302	0	0	14	0	0
FGFR4_3695	FGFR4	11641	11948	1367	1195	69	240	861	2	1
CDK4_2130	CDK4	1536	1278	415	68	0	0	0	0	332
CACNB3_1738	CACNB3	5098	5406	1791	566	37	283	13	35	178
ING5_5234	ING5	3720	4654	588	421	12440	0	0	213	1
PRMT6_8807	PRMT6	1917	2017	634	173	0	0	0	0	65
KIAA1456_6126	KIAA1456	13465	16562	1408	1005	259	1	556	522	0
PER1_8170	PER1	44573	56002	168	190	0	0	1	0	4
MMP10_6942	MMP10	9763	10959	646	847	2729	212	9	0	0
ALKBH3_497	ALKBH3	697	945	454	676	29	23	0	28	1
TCF3_10839	TCF3	34276	40893	306	29	6	4	0	10	1
PPARA_8480	PPARA	4019	3505	1346	393	174	5	47	162	59
USP3_11888	USP3	15533	15514	360	160	0	7	15	0	0
MMP7_7130	MMP7	848	606	1837	1639	1493	30	705	6	923
KCNJ1_5712	KCNJ1	537	838	909	487	31	0	214	11	0
SALL1_9591	SALL1	44270	43961	119	6	0	2	1	0	0
CRBN_2530	CRBN	1128	872	1280	1358	10	479	695	1	24114
MMP28_7109	MMP28	8842	8882	133	170	1	41	0	1	0
ADRA2B_359	ADRA2B	15583	17571	433	156	38	0	174	0	1
MEPCE_6771	MEPCE	1761	2225	273	101	0	3	5	0	9
CYP11B1_2777	CYP11B1	19	1	2020	1078	28	245	1226	39	53
USP38_11889	USP38	986	1013	999	289	0	2	2	50	1
