id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SIRT5	10	6.6072e-05	0.00027614	0.341584	1	3	5.1375	0.37664	0.83069	0.99982	936	7	5.1375
KDM1A	46	0.00031503	0.0018529	0.57302	2	5	7.1101	0.11495	0.62811	0.995508	501	41	7.1101
ABCC8	10	0.0004017	0.0015568	0.57302	3	2	5.3821	0.85463	0.99603	0.99982	1205	9	5.3821
LacZ:1627-1646_LacZ_-	1	0.0005223	0.00062832	0.388614	4	1	-7.8531	0.99948	0.99954	0.99982	1237	0	-7.8531
FCGR3A	10	0.0014405	0.0048464	0.972024	5	2	5.1659	0.17255	0.55797	0.9905	634	8	5.1659
CKM	10	0.0016794	0.0055588	0.972024	6	3	3.4516	0.002007	0.014483	0.57793	31	7	3.4516
USP51	10	0.002007	0.0064392	0.972024	7	1	5.9137	0.6598	0.97163	0.99982	1139	9	5.9137
FBL	16	0.0020295	0.0072236	0.972024	8	3	6.0237	0.91523	0.99948	0.99982	1226	13	6.0237
HDAC10	10	0.0023102	0.0071356	0.972024	9	3	5.4107	0.57069	0.94488	0.99982	1088	7	5.4107
SSTR2	10	0.0027024	0.0082802	0.972024	10	2	6.078	0.3552	0.8111	0.99982	906	8	6.078
SMYD3	10	0.0043286	0.012314	0.972024	11	3	6.6929	0.15269	0.51742	0.983798	593	8	6.6929
BRD8	10	0.0044107	0.012538	0.972024	12	1	6.9647	0.26339	0.70508	0.99982	786	9	6.9647
CSF3R	10	0.0047489	0.013411	0.972024	13	2	7.0776	0.38012	0.83346	0.99982	944	8	7.0776
SLAMF7	10	0.0048776	0.013707	0.972024	14	3	7.0397	0.093742	0.3742	0.951861	430	8	7.0397
EDF1	10	0.0060102	0.016716	0.972024	15	1	7.359	0.085542	0.35001	0.951861	407	9	7.359
KCNA1	10	0.0061686	0.017117	0.972024	16	3	6.7746	0.47785	0.90295	0.99982	1026	8	6.7746
DPEP1	10	0.0068091	0.018709	0.972024	17	2	7.374	0.021879	0.1195	0.880541	148	9	7.374
CCL2	10	0.0068113	0.018717	0.972024	18	3	5.0931	0.69805	0.97999	0.99982	1161	9	5.0931
FCGR2C	10	0.0070712	0.019342	0.972024	19	2	6.2296	0.19023	0.59093	0.99405	668	8	6.2296
KAT6A	10	0.0074998	0.020366	0.972024	20	2	6.9813	0.33646	0.79253	0.99982	884	8	6.9813
PDCD1LG2	16	0.007502	0.023696	0.972024	21	3	8.0633	0.026305	0.17091	0.909795	167	13	8.0633
TRIM16	10	0.0081192	0.021855	0.972024	22	2	5.563	0.7487	0.98742	0.99982	1181	8	5.563
TET3	10	0.0084052	0.022527	0.972024	23	3	5.8205	0.19992	0.60835	0.99405	686	9	5.8205
CALY	10	0.0088481	0.023616	0.972024	24	3	5.9269	0.60833	0.95735	0.99982	1110	9	5.9269
MBD3	10	0.0088913	0.02372	0.972024	25	3	4.947	0.41838	0.86457	0.99982	982	10	4.947
TRPV3	10	0.0092023	0.024608	0.972024	26	1	7.4974	0.13345	0.47536	0.983798	538	9	7.4974
IRF7	10	0.0095223	0.025377	0.972024	27	2	6.1034	0.061581	0.2747	0.909795	330	8	6.1034
ELANE	10	0.0099201	0.026369	0.972024	28	3	5.2688	0.61891	0.96073	0.99982	1121	10	5.2688
BRMS1L	10	0.0099989	0.026521	0.972024	29	2	6.4501	0.1756	0.56371	0.9905	640	8	6.4501
MTTP	10	0.010112	0.026802	0.972024	30	2	7.618	0.081988	0.33934	0.951861	395	8	7.618
SLC6A3	10	0.010212	0.027082	0.972024	31	2	7.0428	0.095655	0.37946	0.951861	442	8	7.0428
PDE5A	10	0.010795	0.028482	0.972024	32	1	6.4537	0.11815	0.43892	0.966095	510	9	6.4537
MEPCE	36	0.010966	0.041945	0.977407	33	4	5.5725	0.90452	0.99982	0.99982	1219	33	5.5725
PKN1	10	0.011315	0.029699	0.972024	34	3	6.5605	0.27393	0.71897	0.99982	806	8	6.5605
LacZ:2131-2150_LacZ_+	1	0.01137	0.011242	0.972024	35	1	-2.8653	0.98863	0.98877	0.99982	1236	0	-2.8653
HCFC1	10	0.01159	0.030259	0.972024	36	2	7.0485	0.44719	0.88419	0.99982	1006	9	7.0485
RARB	10	0.012385	0.031356	0.972024	37	1	7.121	0.47788	0.90297	0.99982	1027	9	7.121
FLT4	10	0.012741	0.032028	0.972024	38	2	7.0327	0.2411	0.67385	0.99982	760	8	7.0327
SCN1B	10	0.012963	0.032356	0.972024	39	2	7.247	0.36652	0.82147	0.99982	925	8	7.247
AURKC	10	0.01318	0.032708	0.972024	40	1	5.1405	0.63317	0.96494	0.99982	1129	9	5.1405
GLP1R	10	0.013526	0.033213	0.972024	41	2	7.3635	0.20642	0.61912	0.99405	697	8	7.3635
CPT1A	10	0.013973	0.033789	0.972024	42	1	6.9201	0.15866	0.53012	0.983798	606	9	6.9201
TRMT61A	39	0.014006	0.053679	0.977407	43	1	7.456	0.11192	0.603	0.99405	495	38	7.456
CTRL0075	1	0.015227	0.015164	0.972024	44	1	-1.5741	0.98477	0.98503	0.99982	1235	0	-1.5741
TUBD1	10	0.016006	0.036783	0.977407	45	2	6.8056	0.09661	0.38194	0.951861	446	8	6.8056
PSMB5	10	0.016351	0.037455	0.977407	46	2	5.3004	0.92778	0.99899	0.99982	1230	9	5.3004
MAP2K2	10	0.017125	0.038639	0.977407	47	2	6.4562	0.65718	0.97107	0.99982	1138	8	6.4562
YTHDF2	62	0.017288	0.072881	0.977407	48	4	6.6888	0.18461	0.79238	0.99982	656	59	6.6888
TRMT1	17	0.017411	0.045203	0.977407	49	2	7.307	0.15204	0.59486	0.99405	589	15	7.307
GNRHR	10	0.017761	0.039672	0.977407	50	2	5.7347	0.62126	0.96146	0.99982	1123	8	5.7347
TFPI	10	0.017933	0.03988	0.977407	51	1	6.3406	0.080946	0.33602	0.951861	389	9	6.3406
YTHDC1	47	0.018824	0.070383	0.977407	52	3	7.423	0.010133	0.12387	0.880541	91	44	7.423
CREBBP	10	0.019462	0.042241	0.977407	53	2	6.9923	0.4408	0.87972	0.99982	1001	8	6.9923
TYMS	10	0.020302	0.043658	0.977407	54	1	7.775	0.021514	0.11786	0.880541	146	9	7.775
YTHDF1	37	0.021824	0.072104	0.977407	55	4	7.1491	0.14842	0.68418	0.99982	579	35	7.1491
PRKAB1	10	0.021879	0.046355	0.977407	56	1	7.3991	0.12898	0.46509	0.983798	528	9	7.3991
PER1	10	0.022666	0.047516	0.977407	57	1	7.334	0.13384	0.47616	0.983798	539	9	7.334
PDGFRB	10	0.024372	0.050117	0.977407	58	2	4.9821	0.23818	0.66961	0.99982	757	8	4.9821
KCNMA1	10	0.024667	0.050549	0.977407	59	2	6.2744	0.58198	0.94905	0.99982	1097	8	6.2744
HIPK4	10	0.024815	0.05075	0.977407	60	2	7.9688	0.029738	0.15393	0.901153	186	8	7.9688
U2AF1	10	0.025411	0.051678	0.977407	61	2	5.9166	0.9111	0.99852	0.99982	1224	8	5.9166
SALL1	10	0.02581	0.052326	0.977407	62	1	7.3086	0.36286	0.81798	0.99982	919	9	7.3086
KCNQ2	10	0.027379	0.054872	0.977407	63	1	6.0887	0.29024	0.74049	0.99982	825	9	6.0887
SLC12A4	10	0.027697	0.055312	0.977407	64	2	6.1964	0.6451	0.9682	0.99982	1134	8	6.1964
SLC6A1	10	0.028321	0.056192	0.977407	65	2	8.0425	0.038141	0.18855	0.909795	227	8	8.0425
MAPK3	10	0.028945	0.057009	0.977407	66	1	5.7015	0.69109	0.97863	0.99982	1159	9	5.7015
AVPR1A	10	0.029427	0.057761	0.977407	67	2	6.9994	0.49224	0.91061	0.99982	1034	8	6.9994
MRGBP	10	0.029906	0.058377	0.977407	68	2	7.2968	0.18662	0.58459	0.99405	661	8	7.2968
LDB1	10	0.030308	0.058914	0.977407	69	2	5.4864	0.57719	0.94715	0.99982	1093	8	5.4864
TCF3	10	0.030509	0.059218	0.977407	70	1	5.2982	0.31354	0.76817	0.99982	856	9	5.2982
SMARCAD1	10	0.032071	0.061483	0.977407	71	1	6.9737	0.10761	0.41229	0.951861	483	9	6.9737
CTRL0100	1	0.032664	0.032684	0.972024	72	1	0.36984	0.96734	0.96794	0.99982	1234	1	0.36984
ALPPL2	10	0.03363	0.063972	0.977407	73	1	6.8416	0.079336	0.33119	0.951861	386	9	6.8416
PADI4	10	0.033854	0.064372	0.977407	74	2	4.2166	0.91613	0.99866	0.99982	1227	8	4.2166
GSK3A	11	0.034365	0.067254	0.977407	75	1	6.3263	0.68463	0.9814	0.99982	1153	10	6.3263
NOXO1	10	0.034409	0.064997	0.977407	76	1	6.641	0.60021	0.95492	0.99982	1104	9	6.641
LPL	10	0.035215	0.066253	0.977407	77	2	5.8377	0.063592	0.28145	0.918856	340	8	5.8377
HDAC6	10	0.036424	0.068246	0.977407	78	2	6.4291	0.62445	0.96249	0.99982	1126	8	6.4291
JADE2	10	0.036742	0.068751	0.977407	79	1	6.926	0.23376	0.66304	0.99982	747	9	6.926
KIT	10	0.037519	0.069943	0.977407	80	1	6.2491	0.28759	0.73688	0.99982	817	9	6.2491
TRMT12	27	0.03937	0.1055	0.977407	81	2	7.6033	0.18423	0.71666	0.99982	655	25	7.6033
KANSL1	10	0.039607	0.073065	0.977407	82	2	4.5137	0.77373	0.98993	0.99982	1186	9	4.5137
