sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
YEATS2_12205	YEATS2	0/1.0283	3699.5/4067.8	0.51413	3883.7	11.325	0.52867	0.87859	4142.8	1	0	0	0	True
PRMT7_8819	PRMT7	0/1.0283	3174.2/3193.5	0.51413	3183.9	11.039	0.52867	0.87859	3396.2	1	0	0	0	True
CKM_2400	CKM	0/1.0283	2274.1/2088.5	0.51413	2181.3	10.493	0.52867	0.87859	2326.6	1	0	0	0	True
HTR2C_4920	HTR2C	0/1.0283	1541.7/2422.5	0.51413	1982.1	10.355	0.52867	0.87859	2114	1	0	0	0	True
AR_801	AR	0/1.0283	1360.6/2560.9	0.51413	1960.7	10.339	0.52867	0.87859	2091.3	1	0	0	0	True
PHF2_8222	PHF2	0/0	1926.9/1806.8	0.51413	1866.9	10.269	0	0.87859	1991.1	1	0	0	0	True
CACNA1B_1614	CACNA1B	0/1.0283	1899.3/1725.5	0.51413	1812.4	10.226	0.52867	0.87859	1933	1	0	0	0	True
RAMP2_9077	RAMP2	0/1.0283	1801.7/1821.4	0.51413	1811.6	10.225	0.52867	0.87859	1932.1	1	0	0	0	True
GSR_4424	GSR	0/0	1627.4/1967.1	0.51413	1797.2	10.214	0	0.87859	1916.8	1	0	0	0	True
luciferase:1220-1239_luciferase_+_6431	luciferase:1220-1239_luciferase_+	0/1.0283	1693.7/1883.3	0.51413	1788.5	10.207	0.52867	0.87859	1907.5	1	0	0	0	True
PARP2_7933	PARP2	0/2.0565	2240.6/3159.5	1.0283	2700.1	10.379	2.1147	2.0715	1875.3	1	0	0	0	True
GRIN3B_4387	GRIN3B	0/1.0283	1756.3/1724.3	0.51413	1740.3	10.167	0.52867	0.87859	1856.1	1	0	0	0	True
HDAC2_4581	HDAC2	0/1.0283	1511.9/1910	0.51413	1710.9	10.143	0.52867	0.87859	1824.8	1	0	0	0	True
AAVS0047_47	AAVS	0/1.0283	1259.3/2083.7	0.51413	1671.5	10.109	0.52867	0.87859	1782.7	1	0	0	0	True
PLA2G1B_8261	PLA2G1B	0/1.0283	1601.3/1732.8	0.51413	1667	10.105	0.52867	0.87859	1777.9	1	0	0	0	True
EZH1_3371	EZH1	0/1.0283	1701.9/1595.5	0.51413	1648.7	10.089	0.52867	0.87859	1758.4	1	0	0	0	True
KIAA1456_6151	KIAA1456	0/1.0283	1121.4/2176	0.51413	1648.7	10.089	0.52867	0.87859	1758.4	1	0	0	0	True
EYA3_3322	EYA3	0/1.0283	1312.9/1917.3	0.51413	1615.1	10.06	0.52867	0.87859	1722.5	1	0	0	0	True
AAVS0008_8	AAVS	0/0	1342/1885.8	0.51413	1613.9	10.059	0	0.87859	1721.2	1	0	0	0	True
PAXIP1_7953	PAXIP1	0/1.0283	1992.5/1231.3	0.51413	1611.9	10.057	0.52867	0.87859	1719.1	1	0	0	0	True
SUPT7L_10541	SUPT7L	0/0	1701.1/1521.5	0.51413	1611.3	10.056	0	0.87859	1718.5	1	0	0	0	True
TBL1X_10787	TBL1X	0/0	1453.7/1742.5	0.51413	1598.1	10.045	0	0.87859	1704.4	1	0	0	0	True
WBSCR22_12081	WBSCR22	0/1.0283	1665.4/1510.5	0.51413	1587.9	10.035	0.52867	0.87859	1693.6	1	0	0	0	True
SCN3B_9690	SCN3B	0/1.0283	1144.5/1946.5	0.51413	1545.5	9.9963	0.52867	0.87859	1648.3	1	0	0	0	True
TYW3_11711	TYW3	0/1.0283	1293.5/1781.3	0.51413	1537.4	9.9888	0.52867	0.87859	1639.7	1	0	0	0	True
GABRQ_4092	GABRQ	0/1.0283	1220.5/1826.3	0.51413	1523.4	9.9755	0.52867	0.87859	1624.7	1	0	0	0	True
FRK_3767	FRK	0/0	1072.2/1973.2	0.51413	1522.7	9.9749	0	0.87859	1624	1	0	0	0	True
DPEP1_2943	DPEP1	0/0	1725.7/1313.8	0.51413	1519.8	9.9721	0	0.87859	1620.8	1	0	0	0	True
NR3C1_7572	NR3C1	0/2.0565	2061.8/2599.7	1.0283	2330.8	10.167	2.1147	2.0715	1618.7	1	0	0	0	True
FGF1_3646	FGF1	0/1.0283	1331.5/1696.3	0.51413	1513.9	9.9665	0.52867	0.87859	1614.6	1	0	0	0	True
IFNG_5036	IFNG	0/1.0283	1154.2/1871.2	0.51413	1512.7	9.9654	0.52867	0.87859	1613.3	1	0	0	0	True
NSUN2_7618	NSUN2	0/0	1681.7/1336.9	0.51413	1509.3	9.9621	0	0.87859	1609.7	1	0	0	0	True
IL1R1_5110	IL1R1	0/1.0283	1202.6/1800.8	0.51413	1501.7	9.9548	0.52867	0.87859	1601.5	1	0	0	0	True
EYA1_3302	EYA1	1.1602/2.0565	3150.4/2956.7	1.6084	3053.6	10.194	0.40168	3.6649	1594.2	1	0	0	0	True
HENMT1_4667	HENMT1	0/0	1488/1492.3	0.51413	1490.2	9.9437	0	0.87859	1589.3	1	0	0	0	True
WHSC1_12152	WHSC1	0/1.0283	1479.8/1498.4	0.51413	1489.1	9.9427	0.52867	0.87859	1588.1	1	0	0	0	True
CKMT2_2419	CKMT2	0/0	1480.6/1496	0.51413	1488.3	9.9419	0	0.87859	1587.2	1	0	0	0	True
F9_3475	F9	0/1.0283	1310.7/1640.5	0.51413	1475.6	9.9295	0.52867	0.87859	1573.7	1	0	0	0	True
IL11RA_5084	IL11RA	1.1602/0	1626.6/1548.2	0.58012	1587.4	9.9733	0.67308	1.0179	1572.8	1	0	0	0	True
HTR2B_4911	HTR2B	0/1.0283	1353.1/1587	0.51413	1470.1	9.9242	0.52867	0.87859	1567.8	1	0	0	0	True
KEAP1_6107	KEAP1	0/3.0848	2507.3/3330.7	1.5424	2919	10.166	4.758	3.4723	1565.7	1	0	0	0	True
KMT2E_6266	KMT2E	0/0	1464.9/1463.2	0.51413	1464.1	9.9182	0	0.87859	1561.4	1	0	0	0	True
F8_3465	F8	1.1602/0	1626.6/1514.2	0.58012	1570.4	9.9578	0.67308	1.0179	1556	1	0	0	0	True
