sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SETD2_9864	SETD2	0/0	12287/20860/515.47	0.37866	12287	13.122	0	0.61071	15722	1	0	0	0	True
CD276_1973	CD276	0/0.75731	4417.9/58942/7111.5	0.37866	7111.5	12.333	0.28676	0.61071	9099.5	1	0	0	0	True
SUV420H1_10574	SUV420H1	0/0.75731	6722.9/8.738/7940.3	0.37866	6722.9	12.252	0.28676	0.61071	8602.3	1	0	0	0	True
GABRA2_3953	GABRA2	0/1.5146	8595/32.039/14217	0.75731	8595	12.256	1.147	1.4156	7223.3	1	0	0	0	True
HNRNPA2B1_4758	HNRNPA2B1	0/1.5146	11460/10.194/7602.4	0.75731	7602.4	12.079	1.147	1.4156	6389.1	1	0	0	0	True
TARBP1_10765	TARBP1	3.418/0.75731	13871/42736/605.3	2.0877	13871	12.133	3.5397	5.1135	6133	1	0	0	0	True
YEATS2_12205	YEATS2	0/0.75731	2806.9/4510.2/7817.8	0.37866	4510.2	11.676	0.28676	0.61071	5770.9	1	0	0	0	True
YTHDF2_12373	YTHDF2	0.85451/2.2719	330.99/11820/10753	1.5632	10753	12.035	1.0046	3.5214	5729.7	1	0	0	0	True
TPK1_11144	TPK1	0/0.75731	4296.9/266.51/14121	0.37866	4296.9	11.606	0.28676	0.61071	5497.9	1	0	0	0	True
THUMPD3_10985	THUMPD3	0/0.75731	160.15/3610.2/5258.8	0.37866	3610.2	11.355	0.28676	0.61071	4619.2	1	0	0	0	True
CTRL0008_2646	CTRL0008	0/0	6972.1/3563.6/1297.4	0.37866	3563.6	11.336	0	0.61071	4559.6	1	0	0	0	True
FRK_3767	FRK	0/0	1923/3476.2/3636.9	0.37866	3476.2	11.3	0	0.61071	4447.8	1	0	0	0	True
MEN1_6758	MEN1	0.85451/0.75731	18401/5327.2/3670.6	0.80591	5327.2	11.527	0.0047234	1.5287	4307.9	1	0	0	0	True
SLAMF7_10078	SLAMF7	0/1.5146	30.845/5088.4/11862	0.75731	5088.4	11.5	1.147	1.4156	4276.1	1	0	0	0	True
CFTR_2236	CFTR	0/0	13166/3032.1/29.601	0.37866	3032.1	11.103	0	0.61071	3879.4	1	0	0	0	True
C14orf169_1434	C14orf169	0/3.7866	8177.4/329.13/54873	1.8933	8177.4	11.465	7.169	4.5054	3851.7	1	0	0	0	True
TNFSF13B_11067	TNFSF13B	0/0.75731	176.76/2889.3/4825	0.37866	2889.3	11.034	0.28676	0.61071	3696.8	1	0	0	0	True
luciferase:1028-1047_luciferase_-_6425	luciferase:1028-1047_luciferase_-	0/0	55.758/2829.6/5813.1	0.37866	2829.6	11.004	0	0.61071	3620.4	1	0	0	0	True
C14orf169_1437	C14orf169	0/0.75731	352.34/4452/2823.4	0.37866	2823.4	11	0.28676	0.61071	3612.3	1	0	0	0	True
AAVS0073_73	AAVS	0/0.75731	8.3043/4323.8/2797.8	0.37866	2797.8	10.987	0.28676	0.61071	3579.7	1	0	0	0	True
LacZ:2398-2417_LacZ_+_6327	LacZ:2398-2417_LacZ_+	0/0.75731	39.149/4695.2/2779.5	0.37866	2779.5	10.978	0.28676	0.61071	3556.2	1	0	0	0	True
GSR_4421	GSR	0/0.75731	3564.9/1.4563/2543.7	0.37866	2543.7	10.85	0.28676	0.61071	3254.5	1	0	0	0	True
S1PR5_9585	S1PR5	0/0	192.19/10212/2542.7	0.37866	2542.7	10.849	0	0.61071	3253.2	1	0	0	0	True
EHMT2_3116	EHMT2	0/0	207.61/2592.3/2528.4	0.37866	2528.4	10.841	0	0.61071	3234.9	1	0	0	0	True
