id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
KIAA1456	81	5.2503e-05	0.0010765	0.332921	1	47	-3.486	0.41665	0.67735	0.9995	531	3	-3.486
ELP3	33	5.8852e-05	0.00094848	0.332921	2	23	-4.8798	0.02814	0.087768	0.935816	69	2	-4.8798
TFB1M	24	5.8992e-05	0.00081241	0.332921	3	15	-4.4633	0.96746	0.96732	0.9995	1181	0	-4.4633
RNMTL1	20	8.0609e-05	0.00088445	0.332921	4	18	-5.6841	0.78694	0.78858	0.9995	947	0	-5.6841
HDAC8	10	0.00020264	0.0016288	0.402365	5	9	-5.3587	0.74702	0.74707	0.9995	895	0	-5.3587
MC2R	10	0.00026306	0.002077	0.402365	6	9	-6.4055	0.97696	0.9773	0.9995	1195	0	-6.4055
PRDM7	10	0.00040619	0.0032136	0.402365	7	9	-7.2824	0.93986	0.94002	0.9995	1144	0	-7.2824
HRH1	10	0.00046207	0.0036298	0.402365	8	8	-4.2963	0.99483	0.99495	0.9995	1227	0	-4.2963
CCL2	10	0.00046825	0.0036538	0.402365	9	6	-3.3339	0.059812	0.10377	0.935816	128	2	-3.3339
SLC6A4	10	0.00047527	0.0036779	0.402365	10	9	-5.2462	0.64234	0.64287	0.9995	783	0	-5.2462
ADORA1	10	0.00049594	0.0038379	0.402365	11	10	-7.9566	0.9995	0.9995	0.9995	1237	0	-7.9566
HCAR3	10	0.00054915	0.0042702	0.402365	12	7	-3.5673	0.574	0.57469	0.9995	704	0	-3.5673
LIPF	10	0.00057304	0.0044783	0.402365	13	9	-3.9622	0.89836	0.89852	0.9995	1091	0	-3.9622
TADA2B	10	0.00066719	0.0051666	0.402365	14	10	-7.9981	0.99933	0.99937	0.9995	1236	0	-7.9981
BRPF1	10	0.00066727	0.0051666	0.402365	15	8	-5.5648	0.89816	0.89826	0.9995	1090	0	-5.5648
KCNE1	10	0.00069668	0.0053667	0.402365	16	8	-5.8468	0.39541	0.39707	0.975111	510	1	-5.8468
RNMT	61	0.00071776	0.010785	0.476839	17	40	-4.0157	0.16854	0.38024	0.973022	255	3	-4.0157
PRKCA	10	0.00075167	0.0057749	0.402365	18	6	-7.2949	0.93321	0.93347	0.9995	1136	0	-7.2949
SCN4A	10	0.00076441	0.005855	0.402365	19	10	-5.889	0.99924	0.99932	0.9995	1235	0	-5.889
NSUN6	21	0.0010861	0.010785	0.476839	20	11	-4.0695	0.38376	0.45519	0.992991	495	1	-4.0695
GABRG2	10	0.0010887	0.008024	0.476839	21	7	-6.0386	0.66433	0.66431	0.9995	807	0	-6.0386
GNRHR	10	0.0011463	0.0083602	0.476839	22	7	-5.7094	0.71912	0.71859	0.9995	866	0	-5.7094
